
2025-12-06 04:39:35 ; RATE_LIMIT ; Bowie Knife | Autotronic (Minimal Wear) ; HTTP 429 from Steam
2025-12-06 04:40:04 ; RATE_LIMIT ; AK-47 | Predator (Factory New) ; HTTP 429 from Steam
2025-12-06 04:41:04 ; RATE_LIMIT ; M4A4 | Faded Zebra (Battle-Scarred) ; HTTP 429 from Steam
2025-12-06 04:42:09 ; RATE_LIMIT ; AK-47 | Predator (Factory New) ; HTTP 429 from Steam
2025-12-06 04:43:09 ; RATE_LIMIT ; M4A4 | Faded Zebra (Battle-Scarred) ; HTTP 429 from Steam
2025-12-06 04:56:34 ; RATE_LIMIT ; AK-47 | Predator (Factory New) ; HTTP 429 from Steam
2025-12-06 05:16:22 ; OK ; AK-47 | Predator (Factory New) ; Lowest=338.72 PLN
2025-12-06 05:16:22 ; ERROR ; AK-47 | Predator (Factory New) ; Exception: Unable to index into an object of type System.Management.Automation.PSObject.
2025-12-06 05:16:23 ; OK ; M4A4 | Faded Zebra (Battle-Scarred) ; Lowest=17.90 PLN ; Median=15.78 PLN ; Volume=2
2025-12-06 05:16:23 ; ERROR ; M4A4 | Faded Zebra (Battle-Scarred) ; Exception: Unable to index into an object of type System.Management.Automation.PSObject.
2025-12-06 05:16:29 ; OK ; AK-47 | Predator (Factory New) ; Lowest=338.72 PLN
2025-12-06 05:16:29 ; ERROR ; AK-47 | Predator (Factory New) ; Exception: Unable to index into an object of type System.Management.Automation.PSObject.
2025-12-06 05:16:29 ; OK ; M4A4 | Faded Zebra (Battle-Scarred) ; Lowest=17.90 PLN ; Median=15.78 PLN ; Volume=2
2025-12-06 05:16:29 ; ERROR ; M4A4 | Faded Zebra (Battle-Scarred) ; Exception: Unable to index into an object of type System.Management.Automation.PSObject.
2025-12-06 05:16:35 ; OK ; AK-47 | Predator (Factory New) ; Lowest=338.72 PLN
2025-12-06 05:16:35 ; ERROR ; AK-47 | Predator (Factory New) ; Exception: Unable to index into an object of type System.Management.Automation.PSObject.
2025-12-06 05:16:35 ; OK ; M4A4 | Faded Zebra (Battle-Scarred) ; Lowest=17.90 PLN ; Median=15.78 PLN ; Volume=2
2025-12-06 05:16:35 ; ERROR ; M4A4 | Faded Zebra (Battle-Scarred) ; Exception: Unable to index into an object of type System.Management.Automation.PSObject.
2025-12-06 05:16:41 ; OK ; AK-47 | Predator (Factory New) ; Lowest=338.72 PLN
2025-12-06 05:16:41 ; ERROR ; AK-47 | Predator (Factory New) ; Exception: Unable to index into an object of type System.Management.Automation.PSObject.
2025-12-06 05:16:41 ; OK ; M4A4 | Faded Zebra (Battle-Scarred) ; Lowest=17.90 PLN ; Median=15.78 PLN ; Volume=2
2025-12-06 05:16:41 ; ERROR ; M4A4 | Faded Zebra (Battle-Scarred) ; Exception: Unable to index into an object of type System.Management.Automation.PSObject.
2025-12-06 05:16:46 ; OK ; AK-47 | Predator (Factory New) ; Lowest=338.72 PLN
2025-12-06 05:16:47 ; ERROR ; AK-47 | Predator (Factory New) ; Exception: Unable to index into an object of type System.Management.Automation.PSObject.
2025-12-06 05:16:47 ; OK ; M4A4 | Faded Zebra (Battle-Scarred) ; Lowest=17.90 PLN ; Median=15.78 PLN ; Volume=2
2025-12-06 05:16:47 ; ERROR ; M4A4 | Faded Zebra (Battle-Scarred) ; Exception: Unable to index into an object of type System.Management.Automation.PSObject.
